split,students,prefixes,unique_mastery_states,unique_state_target_pairs,grouped_weighted_mse,prefix_level_mse,prefix_level_mae,maximum_absolute_error,prediction_min,prediction_max,teacher_min,teacher_max,pearson_correlation,spearman_correlation,coverage,per_target_raw_count,per_target_grouped_count,config_hash,checkpoint_hash,teacher_tensor_hash,teacher_checkpoint_hash,tuple_collection_hash,split_hash,compression_config_hash,evaluator_hash
train,236,25089,11,297,3.3738863029954766e-05,0.014212671943869291,0.0894217144025711,0.6486153453588486,0.334690123796463,0.8016619086265564,0.0525377057492733,0.9895406365394592,0.5902324397208897,0.5761886367522009,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 18, 29, 32, 36, 37, 39, 40, 41, 42, 46, 51, 52]","{'0': 25089, '1': 25089, '2': 25089, '3': 25089, '4': 25089, '5': 25089, '6': 25089, '7': 25089, '8': 25089, '10': 25089, '11': 25089, '12': 25089, '13': 25089, '15': 25089, '17': 25089, '18': 25089, '29': 25089, '32': 25089, '36': 25089, '37': 25089, '39': 25089, '40': 25089, '41': 25089, '42': 25089, '46': 25089, '51': 25089, '52': 25089}","{'0': 11, '1': 11, '2': 11, '3': 11, '4': 11, '5': 11, '6': 11, '7': 11, '8': 11, '10': 11, '11': 11, '12': 11, '13': 11, '15': 11, '17': 11, '18': 11, '29': 11, '32': 11, '36': 11, '37': 11, '39': 11, '40': 11, '41': 11, '42': 11, '46': 11, '51': 11, '52': 11}",5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
validation,29,3103,7,189,0.0004811090694317606,0.01417235171324771,0.08895965165538623,0.6362538561224937,0.334690123796463,0.7829306125640869,0.08274596929550171,0.9889017343521118,0.579232650704991,0.5697022838285408,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 15, 17, 18, 29, 32, 36, 37, 39, 40, 41, 42, 46, 51, 52]","{'0': 3103, '1': 3103, '2': 3103, '3': 3103, '4': 3103, '5': 3103, '6': 3103, '7': 3103, '8': 3103, '10': 3103, '11': 3103, '12': 3103, '13': 3103, '15': 3103, '17': 3103, '18': 3103, '29': 3103, '32': 3103, '36': 3103, '37': 3103, '39': 3103, '40': 3103, '41': 3103, '42': 3103, '46': 3103, '51': 3103, '52': 3103}","{'0': 7, '1': 7, '2': 7, '3': 7, '4': 7, '5': 7, '6': 7, '7': 7, '8': 7, '10': 7, '11': 7, '12': 7, '13': 7, '15': 7, '17': 7, '18': 7, '29': 7, '32': 7, '36': 7, '37': 7, '39': 7, '40': 7, '41': 7, '42': 7, '46': 7, '51': 7, '52': 7}",5333f3064b10c8a25424e49f7030844fc19ad9197519e7ecabe6da6d919d108d,74ee76f29e852b77f3116a6840386342ec256088a245a871a67ff4f4142c012a,48901d7eeab0580aba90d0fce1d282d300121ea6cbe5abe73791af30299df490,78f6513776897444445d13d182ec4851baafe84e8c0fbdcd8c4a765a3c26e2d6,7e03a1c022f9164fd2c5377ce30b6383e5bdab70c1f2767716a3ac45f2a939c8,516885f2bc972e20f14939f63d1db14423b2745d3e1fc4c2914161bd0b92d435,cd6528322c5c9f2c36c5b326532b830e3593a8b3ca8b40199bb6afa0c3f44f5a,855a4f721d12d42e8fc685aa3638dc9d00a2d4f0aef67cae1528ac2261568de7
