scope,target_node,records,mean_regret,median_regret,std_regret,p05_regret,p95_regret,best_regret,worst_regret
overall,,1000,0.0002633218421025803,0.0002565038357960621,0.00021441724299712663,0.0,0.0006583913705390175,0.0,0.0007554759183395182
target,6,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,7,100,0.0004825340482010952,0.0004597166779072549,0.00023523212598689113,6.925211278168705e-05,0.0007554759183395182,0.0,0.0007554759183395182
target,12,100,0.00036673877072011763,0.00043540104321685157,0.00017073097372956092,6.191293053841535e-05,0.0005582872186269475,0.0,0.0005582872186269475
target,18,100,0.00029853494169600566,0.00034835953506855415,0.00011418498220812224,4.973573435477863e-05,0.0004394002503737253,0.0,0.0004394002503737253
target,29,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target,36,100,0.0002628199561671419,0.0002670903854833554,0.00010311380122743116,8.102759009610606e-05,0.0004051418891095602,0.0,0.0004051418891095602
target,39,100,0.000376727475290194,0.00039886120194026245,0.00012030793209787805,0.0001558440007638797,0.000531289968364176,7.616431151710787e-05,0.0005429134843904715
target,42,100,0.00047086911493579624,0.0005158730742692706,0.0001704884407727892,0.00016122266775130294,0.0006735143047857755,8.285440217545372e-05,0.0006735143047857755
target,46,100,9.572737609950594e-05,0.0,0.00011021465741474013,0.0,0.00022262180488257194,0.0,0.00022262180488257194
target,52,100,0.00027926673791594565,0.0002589361977979303,0.00011384715204067251,4.7620354868062387e-05,0.00042552309112038606,0.0,0.00042552309112038606
