method,target_node,run_id,valid,evaluation_cost,optimal_cost,normalized_regret,sequence_hash,invalid_reason
random_frontier,6,0,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,1,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,2,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,3,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,4,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,5,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,6,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,7,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,8,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,9,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,10,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,11,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,12,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,13,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,14,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,15,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,16,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,17,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,18,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,19,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,20,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,21,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,22,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,23,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,24,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,25,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,26,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,27,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,28,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,29,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,30,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,31,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,32,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
random_frontier,6,33,True,708.9110672643005,708.9110672643005,0.0,34cef1a24a8ffbcd5c53c27f990e8ab7e47d0546584f216982d6f1f4427a6dc2,
