model_key,condition,method,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate_over_responses,pipeline_yield_over_planned,target_equal_mean_model_validity_rate,target_equal_mean_pipeline_yield,targets,target_equal_mean_evaluation_cost_valid_runs,target_equal_mean_normalized_regret_valid_runs,target_equal_median_normalized_regret_valid_runs,target_equal_std_normalized_regret_valid_runs
closed_frontier,zero,gpt56_sol_zero,200,200,200,0,0,1.0,1.0,1.0,1.0,10,1790.0018796111085,0.0001618692414763583,0.00018228066320088917,8.70446360749391e-05
closed_frontier,full,gpt56_sol_full,200,200,200,0,0,1.0,1.0,1.0,1.0,10,1789.8193103588624,6.598669451959e-05,6.0070085289889516e-05,5.8254758322572225e-05
open_weight,zero,deepseek_v4_zero,200,200,195,5,0,0.975,0.975,0.975,0.975,10,1790.1102120861838,0.00020894402030273386,0.0002369804459504061,0.00013106842774868229
open_weight,full,deepseek_v4_full,200,199,197,2,1,0.9899497487437185,0.985,0.99,0.985,10,1789.929133058947,0.0001221360688828779,0.00012016801451720458,8.911769034342077e-05
