model_key,condition,method,target_node,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,pipeline_yield,mean_evaluation_cost_valid_runs,median_evaluation_cost_valid_runs,mean_normalized_regret_valid_runs,median_normalized_regret_valid_runs,std_normalized_regret_valid_runs,p05_normalized_regret_valid_runs,p95_normalized_regret_valid_runs
closed_frontier,zero,gpt56_sol_zero,6,20,20,20,0,0,1.0,1.0,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0
closed_frontier,zero,gpt56_sol_zero,7,20,20,20,0,0,1.0,1.0,1322.769680369827,1322.5763872454152,0.00024065969148410392,9.449695042287325e-05,0.00025679865308376364,0.0,0.0005975004785199514
closed_frontier,zero,gpt56_sol_zero,12,20,20,20,0,0,1.0,1.0,1789.8839627714322,1789.670146814765,0.00018931267388138122,6.98320599501746e-05,0.00018973061408705073,6.98320599501746e-05,0.0005582872186269475
closed_frontier,zero,gpt56_sol_zero,18,20,20,20,0,0,1.0,1.0,2499.8404682040364,2500.0270982555417,0.00017533279225159218,0.00025000266668854225,0.00010088463157394892,3.768896408952478e-05,0.00025308965704936377
closed_frontier,zero,gpt56_sol_zero,29,20,20,20,0,0,1.0,1.0,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0
closed_frontier,zero,gpt56_sol_zero,36,20,20,20,0,0,1.0,1.0,2711.2224590006567,2711.3180017574696,0.00017466009016330877,0.00020990597860074276,0.00010453595348284194,4.61007737223261e-05,0.00032356742832038207
closed_frontier,zero,gpt56_sol_zero,39,20,20,20,0,0,1.0,1.0,2412.9058332374334,2412.8620917041203,0.00023251346429037207,0.00021438109326873242,8.236032860860738e-05,0.00016257771115149404,0.00042160253694172744
closed_frontier,zero,gpt56_sol_zero,42,20,20,20,0,0,1.0,1.0,2374.2554403210656,2374.4033671079433,0.00015384908182885262,0.00021616316259939362,0.00010061969396969839,5.001041916357316e-05,0.00026647098118400697
closed_frontier,zero,gpt56_sol_zero,46,20,20,20,0,0,1.0,1.0,1195.1774424284972,1195.2173457615563,0.00018922853415018616,0.00022262180488257194,7.949188431009594e-05,0.0,0.00022262180488257194
closed_frontier,zero,gpt56_sol_zero,52,20,20,20,0,0,1.0,1.0,2348.504970950139,2348.6663269494734,0.000263136086713786,0.00033186000253135117,0.00010385855125780268,5.3225567445988404e-05,0.000336543156960803
closed_frontier,full,gpt56_sol_full,6,20,20,20,0,0,1.0,1.0,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0
closed_frontier,full,gpt56_sol_full,7,20,20,20,0,0,1.0,1.0,1322.487240653481,1322.4514196191788,2.7086843244802666e-05,0.0,4.169549243112023e-05,0.0,9.449695042287325e-05
closed_frontier,full,gpt56_sol_full,12,20,20,20,0,0,1.0,1.0,1789.7214644406463,1789.6076630016469,9.85084110576801e-05,3.49160299750873e-05,0.00013425978638105087,0.0,0.00034917096961374297
closed_frontier,full,gpt56_sol_full,18,20,20,20,0,0,1.0,1.0,2499.661747760923,2499.4647248432757,0.00010382751783844985,2.499950271816989e-05,0.00011127877608943549,0.0,0.00025000266668854225
closed_frontier,full,gpt56_sol_full,29,20,20,20,0,0,1.0,1.0,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0
closed_frontier,full,gpt56_sol_full,36,20,20,20,0,0,1.0,1.0,2710.87037400346,2710.7489993360227,4.4775324999458e-05,0.0,7.403336799838746e-05,0.0,0.00018930104470554543
closed_frontier,full,gpt56_sol_full,39,20,20,20,0,0,1.0,1.0,2412.754659576065,2412.737124077884,0.00016984677867118076,0.00016257771115149404,5.271621849827527e-05,8.76203456747011e-05,0.00021851045014274436
closed_frontier,full,gpt56_sol_full,42,20,20,20,0,0,1.0,1.0,2374.2236495202797,2374.124724885641,0.00014045722380400758,9.878527375923147e-05,0.00011757193850956824,9.647813739566849e-05,0.0004887054985215133
closed_frontier,full,gpt56_sol_full,46,20,20,20,0,0,1.0,1.0,1194.9513235411628,1194.9513235411628,0.0,0.0,0.0,0.0,0.0
closed_frontier,full,gpt56_sol_full,52,20,20,20,0,0,1.0,1.0,2348.064105264607,2348.0121247378074,7.536484558032103e-05,5.3225567445988404e-05,9.704612582640014e-05,0.0,0.00026613596973441123
open_weight,zero,deepseek_v4_zero,6,20,20,20,0,0,1.0,1.0,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0
open_weight,zero,deepseek_v4_zero,7,20,20,20,0,0,1.0,1.0,1322.8008766946264,1322.5763872454152,0.0002642494614647762,9.449695042287325e-05,0.000262151894251825,0.0,0.0007554759183395182
open_weight,zero,deepseek_v4_zero,12,20,20,19,1,0,0.95,0.95,1790.2748807414962,1790.3243490264308,0.0004077581060561955,0.00043540104321685157,0.00015052135807145357,0.00022815653165307885,0.0005582872186269475
open_weight,zero,deepseek_v4_zero,18,20,20,19,1,0,0.95,0.95,2499.9263942493585,2499.9018988975095,0.000209711430436036,0.00019991094636560508,0.00013852074147741353,0.0,0.00039647140337001986
open_weight,zero,deepseek_v4_zero,29,20,20,20,0,0,1.0,1.0,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0
