target,m,m_total,delta_median,delta_max,J_star_proxy,mdelta_med_ratio,mdelta_max_ratio,coverage,obs_fraction
multiplicative_problems,70,84,0.09021257781663228,0.45548654244306425,100.97816657002774,0.06253708758699762,0.3157519992096816,0.7857142857142857,0.8333333333333334
multiplying_and_dividing_scientific_notation,64,75,0.0699970220369267,0.43509677632858035,96.57957974187852,0.046384643858838295,0.28832382331184,0.796875,0.8533333333333334
multiplying_decimal_integer,33,42,0.07657797217665996,0.4945502143062575,49.65234402862788,0.050895343035018706,0.32868855220000975,0.6363636363636364,0.7857142857142857
multiplying_fractions_and_whole_numbers_word_problems,0,1,,,0.0,,,0.0,0.0
multiplying_fractions_by_integers,45,57,0.0777170306850738,0.43509677632858035,67.86503870335926,0.05153266612158005,0.2885042918838998,0.7111111111111111,0.7894736842105263
multiplying_fractions_word_problems,83,99,0.09416258234025715,0.4403701299978366,121.94512039739055,0.06409025887032199,0.29973090084056014,0.8313253012048193,0.8383838383838383
multiplying_mixed_numbers_1,84,100,0.09543845274582866,0.4403701299978366,127.1130092626606,0.06306852522139564,0.29100948151877637,0.8333333333333334,0.84
nature_of_isosceles_triangle,85,96,0.09146305758330944,0.43509677632858035,133.59334063735372,0.058194217297741054,0.2768343527565665,0.8235294117647058,0.8854166666666666
negative_number_word_problems,45,55,0.0777170306850738,0.43509677632858035,66.34647058843665,0.05271216916002537,0.2951077089878923,0.7111111111111111,0.8181818181818182
negative_numbers_multiply_divide,44,55,0.0729846605426357,0.43509677632858035,63.76470218000802,0.05036211185947966,0.3002328483306205,0.6818181818181818,0.8
new_definitions_2,108,124,0.10173793840541823,0.4944273804300131,179.32636416249,0.06127206894034315,0.29777081209351147,0.8425925925925926,0.8709677419354839
number_sense_length_l3,0,3,,,0.0,,,0.0,0.0
number_sense_weight_L1,0,1,,,0.0,,,0.0,0.0
number_sense_weight_l3,0,3,,,0.0,,,0.0,0.0
nutrition_bctest_cap,0,1,,,0.0,,,0.0,0.0
one_more_one_less,23,30,0.061821106572102935,0.43509677632858035,27.963632100579172,0.05084766692839297,0.35786573859803006,0.5652173913043478,0.7666666666666667
