target_node,greedy_internal_cost,lao_internal_cost,exact_dp_cost,greedy_minus_lao,lao_dp_absolute_gap,sequence_matches_greedy,expanded_states,iterations,planning_seconds,converged
6,635.7475040876279,635.747504087628,635.747504087628,-1.1368683772161603e-13,0.0,True,6,7,0.002107699983753264,True
7,932.6903064777678,920.3198769438578,920.3198769438578,12.370429533909942,0.0,False,19,20,0.0031880999449640512,True
12,1212.8966851500084,1200.5262556160983,1200.5262556160983,12.370429533910055,0.0,False,22,23,0.0010888000251725316,True
18,1584.602487203936,1572.2320576700263,1572.2320576700263,12.370429533909828,0.0,False,27,28,0.002654199954122305,True
29,458.40670568037785,458.40670568037785,458.40670568037785,0.0,0.0,True,4,5,0.0003244000254198909,True
36,1701.6937234398183,1689.323293905908,1689.323293905908,12.370429533910283,0.0,False,28,29,0.0019303999142721295,True
39,1611.9910385543947,1582.9345928117204,1582.9345928117204,29.056445742674214,0.0,False,46,47,0.007527600042521954,True
42,1500.4128098877877,1479.3769880364598,1479.3769880364598,21.03582185132791,0.0,False,34,35,0.003210199996829033,True
46,738.644472582676,737.1655032826046,737.1655032826046,1.4789693000714124,0.0,False,8,9,0.0002623000182211399,True
52,1608.3795633945042,1596.009133860594,1596.009133860594,12.370429533910283,0.0,False,25,26,0.0013429999817162752,True
