method,display_name,target_node,planned_runs,provider_responses,valid_runs,model_invalid_runs,transport_ambiguous_runs,model_validity_rate,validity_rate,pipeline_yield,mean_evaluation_cost,median_evaluation_cost,optimal_cost,mean_normalized_regret,median_normalized_regret,std_normalized_regret,p05_normalized_regret,p95_normalized_regret,min_normalized_regret,max_normalized_regret
frequency_lao,Frequency LAO*,6,1,1,1,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frequency_lao,Frequency LAO*,7,1,1,1,0,0,1.0,1.0,1.0,1323.230589457081,1323.230589457081,1322.4514196191788,0.0005891859816873424,0.0005891859816873424,0.0,0.0005891859816873424,0.0005891859816873424,0.0005891859816873424,0.0005891859816873424
frequency_lao,Frequency LAO*,12,1,1,1,0,0,1.0,1.0,1.0,1789.907321114152,1789.907321114152,1789.5451791885284,0.00020236534390695422,0.00020236534390695422,0.0,0.00020236534390695422,0.00020236534390695422,0.00020236534390695422,0.00020236534390695422
frequency_lao,Frequency LAO*,18,1,1,1,0,0,1.0,1.0,1.0,2500.280568637856,2500.280568637856,2499.402241030157,0.00035141506768323743,0.00035141506768323743,0.0,0.00035141506768323743,0.00035141506768323743,0.00035141506768323743,0.00035141506768323743
frequency_lao,Frequency LAO*,29,1,1,1,0,0,1.0,1.0,1.0,536.5474715636964,536.5474715636964,536.5474715636964,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frequency_lao,Frequency LAO*,36,1,1,1,0,0,1.0,1.0,1.0,2711.2102990314424,2711.2102990314424,2710.7489993360227,0.00017017425646295668,0.00017017425646295668,0.0,0.00017017425646295668,0.00017017425646295668,0.00017017425646295668,0.00017017425646295668
frequency_lao,Frequency LAO*,39,1,1,1,0,0,1.0,1.0,1.0,2413.4593013044137,2413.4593013044137,2412.3449305605654,0.00046194502690345446,0.00046194502690345446,0.0,0.00046194502690345446,0.00046194502690345446,0.00046194502690345446,0.00046194502690345446
frequency_lao,Frequency LAO*,42,1,1,1,0,0,1.0,1.0,1.0,2374.669389328337,2374.669389328337,2373.8902194904344,0.00032822488230716283,0.00032822488230716283,0.0,0.00032822488230716283,0.00032822488230716283,0.00032822488230716283,0.00032822488230716283
frequency_lao,Frequency LAO*,46,1,1,1,0,0,1.0,1.0,1.0,1195.2173457615563,1195.2173457615563,1194.9513235411628,0.00022262180488257194,0.00022262180488257194,0.0,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194,0.00022262180488257194
frequency_lao,Frequency LAO*,52,1,1,1,0,0,1.0,1.0,1.0,2348.6663269494734,2348.6663269494734,2347.887157111571,0.00033186000253135117,0.00033186000253135117,0.0,0.00033186000253135117,0.00033186000253135117,0.00033186000253135117,0.00033186000253135117
bkt_set_greedy,BKT-set Greedy,6,1,1,1,0,0,1.0,1.0,1.0,708.9110672643005,708.9110672643005,708.9110672643005,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bkt_set_greedy,BKT-set Greedy,7,1,1,1,0,0,1.0,1.0,1.0,1322.9645672366876,1322.9645672366876,1322.4514196191788,0.00038802757507462176,0.00038802757507462176,0.0,0.00038802757507462176,0.00038802757507462176,0.00038802757507462176,0.00038802757507462176
bkt_set_greedy,BKT-set Greedy,12,1,1,1,0,0,1.0,1.0,1.0,1790.0583268060375,1790.0583268060375,1789.5451791885284,0.00028674750628075,0.00028674750628075,0.0,0.00028674750628075,0.00028674750628075,0.00028674750628075,0.00028674750628075
