target_node,oracle_type,m_delta,j_star,m_delta_normalized,max_delta_v,mean_delta_v,max_single_concept_variation_pct
6,frozen_monotonic,0.0,708.9110672643005,0.0,0.0,0.0,0.0
6,bkt_set,0.0,635.747504087628,0.0,0.0,0.0,0.0
6,dkt_set,0.0,685.5731829666139,0.0,0.0,0.0,0.0
7,frozen_monotonic,1.6172522786315255,1322.4514196191788,0.0012229199913424717,0.9919951242491152,0.17969469762572507,0.002892623822066266
7,bkt_set,27.46479344806697,920.3198769438578,0.029842660292495674,9.06711248960292,3.0516437164518857,0.07796262895863562
7,dkt_set,38.06459853994173,1055.209240011874,0.03607303376107036,18.226552539576033,4.229399837771303,0.11856254907422104
12,frozen_monotonic,1.6172522786315255,1789.5451791885284,0.0009037225197996234,0.9919951242491152,0.1347710232192938,0.002892623822066266
12,bkt_set,27.46479344806697,1200.5262556160983,0.02287729511919113,9.06711248960292,2.288732787338914,0.07796262895863562
12,dkt_set,38.06459853994173,1374.0400764941517,0.02770268436206252,18.226552539576033,3.1720498783284774,0.11856254907422104
18,frozen_monotonic,1.8165731405764944,2499.402241030157,0.0007268030374445745,0.9919951242491152,0.1135358212860309,0.002892623822066266
18,bkt_set,32.176056109440424,1572.2320576700263,0.020465208015872555,9.06711248960292,2.0110035068400265,0.07796262895863562
18,dkt_set,44.00939162098493,1787.1359529902925,0.024625653995347708,18.226552539576033,2.750586976311558,0.11856254907422104
29,frozen_monotonic,0.0,536.5474715636964,0.0,0.0,0.0,0.0
29,bkt_set,0.0,458.40670568037785,0.0,0.0,0.0,0.0
29,dkt_set,0.0,502.9111177905388,0.0,0.0,0.0,0.0
36,frozen_monotonic,1.8165731405764944,2710.7489993360227,0.0006701369772787706,0.9919951242491152,0.1068572435633232,0.002892623822066266
36,bkt_set,32.176056109440424,1689.323293905908,0.019046713098382555,9.06711248960292,1.8927091829082603,0.07796262895863562
36,dkt_set,44.00939162098493,1912.0566051602764,0.023016782820242856,18.226552539576033,2.588787742410878,0.11856254907422104
39,frozen_monotonic,3.0780861696348865,2412.3449305605654,0.0012759726565800937,1.2397347878306277,0.1923803856021804,0.004571132437734683
39,bkt_set,67.12415995468561,1582.9345928117204,0.04240488536892414,18.975622351124315,4.195259997167851,0.2187691886008094
39,dkt_set,86.52802425972952,1851.7075611012974,0.046728774066390505,28.57596872624012,5.408001516233095,0.18588483406786147
42,frozen_monotonic,3.3089831251657955,2373.8902194904344,0.0013939073921775888,1.1693976520077172,0.22059887501105305,0.004613628312114681
42,bkt_set,55.26149112882058,1479.3769880364598,0.03735456991403373,12.791993307468076,3.6840994085880387,0.11452576439065497
42,dkt_set,62.16612674918419,1709.561525431128,0.03636378441162376,18.226552539576033,4.144408449945613,0.11856254907422104
46,frozen_monotonic,0.27562214453448064,1194.9513235411628,0.00023065554144723806,0.2708221824639736,0.039374592076354374,0.0007880510078955612
46,bkt_set,2.8532047706628845,737.1655032826046,0.0038705077190366857,2.1660870353671555,0.4076006815232692,0.020181197740363664
46,dkt_set,3.233598942286804,846.9320408572402,0.0038180146532345717,1.9350712518116922,0.461942706040972,0.019651469952813576
52,frozen_monotonic,1.6172522786315255,2347.887157111571,0.0006888117572997458,0.9919951242491152,0.10781681857543504,0.002892623822066266
52,bkt_set,27.46479344806697,1596.009133860594,0.017208418714767786,9.06711248960292,1.8309862298711315,0.07796262895863562
52,dkt_set,38.06459853994173,1819.0487892266672,0.0209255511811336,18.226552539576033,2.537639902662782,0.11856254907422104
