target_node,concept,oracle_type,c_min,c_max,delta_v,feasible_state_count
6,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
6,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
6,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
6,4,frozen_monotonic,65.30636055728777,65.30636055728777,0.0,1
6,5,frozen_monotonic,156.47482133487492,156.47482133487492,0.0,1
6,6,frozen_monotonic,75.95405269813297,75.95405269813297,0.0,1
6,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
6,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
6,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
6,4,bkt_set,66.1911588840244,66.1911588840244,0.0,1
6,5,bkt_set,124.36663828994429,124.36663828994429,0.0,1
6,6,bkt_set,82.36652065211922,82.36652065211922,0.0,1
6,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
6,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
6,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
6,4,dkt_set,100.4046135536404,100.4046135536404,0.0,1
6,5,dkt_set,133.1232243489296,133.1232243489296,0.0,1
6,6,dkt_set,87.2303385259942,87.2303385259942,0.0,1
7,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
7,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
7,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
7,3,frozen_monotonic,342.939554283457,343.93154940770614,0.9919951242491152,8
7,4,frozen_monotonic,65.29723572626526,65.30636055728777,0.009124831022518265,4
7,5,frozen_monotonic,156.30887118519502,156.47482133487492,0.16595014967990096,4
7,6,frozen_monotonic,75.92660537726202,75.95405269813297,0.027447320870948033,4
7,7,frozen_monotonic,92.8398661585512,92.8398661585512,0.0,1
7,11,frozen_monotonic,177.6545026026521,178.07723745546113,0.4227348528090431,8
7,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
7,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
7,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
7,3,bkt_set,101.57868245480977,109.49802358514117,7.919341130331404,8
7,4,bkt_set,66.02537007037972,66.87827661932013,0.8529065489404104,4
7,5,bkt_set,117.54610170405905,124.48732558076982,6.941223876710765,4
7,6,bkt_set,80.40119730443564,83.08540670691711,2.6842094024814713,4
7,7,bkt_set,69.20632310305876,69.20632310305876,0.0,1
7,11,bkt_set,117.39888235631645,126.46599484591937,9.06711248960292,8
7,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
7,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
7,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
7,3,dkt_set,153.72942536994609,171.95597790952212,18.226552539576033,8
7,4,dkt_set,98.46954230182871,104.96930483522883,6.499762533400116,4
7,5,dkt_set,133.1232243489296,138.07629775605244,4.953073407122844,4
7,6,dkt_set,85.20962693355442,87.78597945268376,2.576352519129344,4
7,7,dkt_set,98.16050735989548,98.16050735989548,0.0,1
7,11,dkt_set,115.66329914334288,121.47215668405627,5.80885754071339,8
12,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
12,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
12,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
12,3,frozen_monotonic,342.939554283457,343.93154940770614,0.9919951242491152,8
12,4,frozen_monotonic,65.29723572626526,65.30636055728777,0.009124831022518265,4
12,5,frozen_monotonic,156.30887118519502,156.47482133487492,0.16595014967990096,4
12,6,frozen_monotonic,75.92660537726202,75.95405269813297,0.027447320870948033,4
12,7,frozen_monotonic,92.8398661585512,92.8398661585512,0.0,1
12,8,frozen_monotonic,188.59595043457523,188.59595043457523,0.0,1
12,10,frozen_monotonic,196.57559574163946,196.57559574163946,0.0,1
12,11,frozen_monotonic,177.6545026026521,178.07723745546113,0.4227348528090431,8
12,12,frozen_monotonic,81.9222133931353,81.9222133931353,0.0,1
12,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
12,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
12,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
12,3,bkt_set,101.57868245480977,109.49802358514117,7.919341130331404,8
12,4,bkt_set,66.02537007037972,66.87827661932013,0.8529065489404104,4
12,5,bkt_set,117.54610170405905,124.48732558076982,6.941223876710765,4
12,6,bkt_set,80.40119730443564,83.08540670691711,2.6842094024814713,4
12,7,bkt_set,69.20632310305876,69.20632310305876,0.0,1
12,8,bkt_set,106.55303639747787,106.55303639747787,0.0,1
12,10,bkt_set,89.44462358650179,89.44462358650179,0.0,1
12,11,bkt_set,117.39888235631645,126.46599484591937,9.06711248960292,8
12,12,bkt_set,84.20871868826084,84.20871868826084,0.0,1
12,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
12,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
12,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
12,3,dkt_set,153.72942536994609,171.95597790952212,18.226552539576033,8
12,4,dkt_set,98.46954230182871,104.96930483522883,6.499762533400116,4
12,5,dkt_set,133.1232243489296,138.07629775605244,4.953073407122844,4
12,6,dkt_set,85.20962693355442,87.78597945268376,2.576352519129344,4
12,7,dkt_set,98.16050735989548,98.16050735989548,0.0,1
12,8,dkt_set,112.08230887786189,112.08230887786189,0.0,1
12,10,dkt_set,111.7297104168616,111.7297104168616,0.0,1
12,11,dkt_set,115.66329914334288,121.47215668405627,5.80885754071339,8
12,12,dkt_set,95.01881718755398,95.01881718755398,0.0,1
18,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
18,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
18,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
18,3,frozen_monotonic,342.939554283457,343.93154940770614,0.9919951242491152,8
18,4,frozen_monotonic,65.29723572626526,65.30636055728777,0.009124831022518265,4
18,5,frozen_monotonic,156.30887118519502,156.47482133487492,0.16595014967990096,4
18,6,frozen_monotonic,75.92660537726202,75.95405269813297,0.027447320870948033,4
18,7,frozen_monotonic,92.8398661585512,92.8398661585512,0.0,1
18,8,frozen_monotonic,188.59595043457523,188.59595043457523,0.0,1
18,10,frozen_monotonic,196.57559574163946,196.57559574163946,0.0,1
18,11,frozen_monotonic,177.6545026026521,178.07723745546113,0.4227348528090431,8
18,12,frozen_monotonic,81.9222133931353,81.9222133931353,0.0,1
18,13,frozen_monotonic,238.74463236463407,238.893871680505,0.14923931587091488,2
18,15,frozen_monotonic,116.84479245754764,116.8948740036217,0.05008154607405402,2
18,17,frozen_monotonic,175.67670401783167,175.67670401783167,0.0,1
18,18,frozen_monotonic,178.54085145554095,178.54085145554095,0.0,1
18,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
18,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
18,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
18,3,bkt_set,101.57868245480977,109.49802358514117,7.919341130331404,8
18,4,bkt_set,66.02537007037972,66.87827661932013,0.8529065489404104,4
18,5,bkt_set,117.54610170405905,124.48732558076982,6.941223876710765,4
18,6,bkt_set,80.40119730443564,83.08540670691711,2.6842094024814713,4
18,7,bkt_set,69.20632310305876,69.20632310305876,0.0,1
18,8,bkt_set,106.55303639747787,106.55303639747787,0.0,1
18,10,bkt_set,89.44462358650179,89.44462358650179,0.0,1
18,11,bkt_set,117.39888235631645,126.46599484591937,9.06711248960292,8
18,12,bkt_set,84.20871868826084,84.20871868826084,0.0,1
18,13,bkt_set,99.2623371521359,103.45496618964793,4.1926290375120345,2
18,15,bkt_set,76.17007086399502,76.68870448785644,0.5186336238614189,2
18,17,bkt_set,98.17888903096045,98.17888903096045,0.0,1
18,18,bkt_set,98.09450500683647,98.09450500683647,0.0,1
18,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
18,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
18,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
18,3,dkt_set,153.72942536994609,171.95597790952212,18.226552539576033,8
18,4,dkt_set,98.46954230182871,104.96930483522883,6.499762533400116,4
18,5,dkt_set,133.1232243489296,138.07629775605244,4.953073407122844,4
18,6,dkt_set,85.20962693355442,87.78597945268376,2.576352519129344,4
18,7,dkt_set,98.16050735989548,98.16050735989548,0.0,1
18,8,dkt_set,112.08230887786189,112.08230887786189,0.0,1
18,10,dkt_set,111.7297104168616,111.7297104168616,0.0,1
18,11,dkt_set,115.66329914334288,121.47215668405627,5.80885754071339,8
18,12,dkt_set,95.01881718755398,95.01881718755398,0.0,1
18,13,dkt_set,125.3553785204378,129.96787383535795,4.612495314920153,2
18,15,dkt_set,88.2455034707505,89.57780123687355,1.3322977661230482,2
18,17,dkt_set,103.42690425238544,103.42690425238544,0.0,1
18,18,dkt_set,96.06809025256702,96.06809025256702,0.0,1
29,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
29,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
29,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
29,29,frozen_monotonic,125.37163888969151,125.37163888969151,0.0,1
29,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
29,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
29,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
29,29,bkt_set,95.58351941883781,95.58351941883781,0.0,1
29,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
29,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
29,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
29,29,dkt_set,138.09611125248907,138.09611125248907,0.0,1
36,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
36,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
36,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
36,3,frozen_monotonic,342.939554283457,343.93154940770614,0.9919951242491152,8
36,4,frozen_monotonic,65.29723572626526,65.30636055728777,0.009124831022518265,4
36,5,frozen_monotonic,156.30887118519502,156.47482133487492,0.16595014967990096,4
36,6,frozen_monotonic,75.92660537726202,75.95405269813297,0.027447320870948033,4
36,7,frozen_monotonic,92.8398661585512,92.8398661585512,0.0,1
36,8,frozen_monotonic,188.59595043457523,188.59595043457523,0.0,1
36,10,frozen_monotonic,196.57559574163946,196.57559574163946,0.0,1
36,11,frozen_monotonic,177.6545026026521,178.07723745546113,0.4227348528090431,8
36,12,frozen_monotonic,81.9222133931353,81.9222133931353,0.0,1
36,13,frozen_monotonic,238.74463236463407,238.893871680505,0.14923931587091488,2
36,15,frozen_monotonic,116.84479245754764,116.8948740036217,0.05008154607405402,2
36,17,frozen_monotonic,175.67670401783167,175.67670401783167,0.0,1
36,32,frozen_monotonic,143.05107463849737,143.05107463849737,0.0,1
36,36,frozen_monotonic,246.83653512290908,246.83653512290908,0.0,1
36,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
36,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
36,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
36,3,bkt_set,101.57868245480977,109.49802358514117,7.919341130331404,8
36,4,bkt_set,66.02537007037972,66.87827661932013,0.8529065489404104,4
36,5,bkt_set,117.54610170405905,124.48732558076982,6.941223876710765,4
36,6,bkt_set,80.40119730443564,83.08540670691711,2.6842094024814713,4
36,7,bkt_set,69.20632310305876,69.20632310305876,0.0,1
36,8,bkt_set,106.55303639747787,106.55303639747787,0.0,1
36,10,bkt_set,89.44462358650179,89.44462358650179,0.0,1
36,11,bkt_set,117.39888235631645,126.46599484591937,9.06711248960292,8
36,12,bkt_set,84.20871868826084,84.20871868826084,0.0,1
36,13,bkt_set,99.2623371521359,103.45496618964793,4.1926290375120345,2
36,15,bkt_set,76.17007086399502,76.68870448785644,0.5186336238614189,2
36,17,bkt_set,98.17888903096045,98.17888903096045,0.0,1
36,32,bkt_set,117.59281625573415,117.59281625573415,0.0,1
36,36,bkt_set,97.59292498698449,97.59292498698449,0.0,1
36,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
36,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
36,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
36,3,dkt_set,153.72942536994609,171.95597790952212,18.226552539576033,8
36,4,dkt_set,98.46954230182871,104.96930483522883,6.499762533400116,4
36,5,dkt_set,133.1232243489296,138.07629775605244,4.953073407122844,4
36,6,dkt_set,85.20962693355442,87.78597945268376,2.576352519129344,4
36,7,dkt_set,98.16050735989548,98.16050735989548,0.0,1
36,8,dkt_set,112.08230887786189,112.08230887786189,0.0,1
36,10,dkt_set,111.7297104168616,111.7297104168616,0.0,1
36,11,dkt_set,115.66329914334288,121.47215668405627,5.80885754071339,8
36,12,dkt_set,95.01881718755398,95.01881718755398,0.0,1
36,13,dkt_set,125.3553785204378,129.96787383535795,4.612495314920153,2
36,15,dkt_set,88.2455034707505,89.57780123687355,1.3322977661230482,2
36,17,dkt_set,103.42690425238544,103.42690425238544,0.0,1
36,32,dkt_set,124.68715708593383,124.68715708593383,0.0,1
36,36,dkt_set,96.30158533661688,96.30158533661688,0.0,1
39,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
39,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
39,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
39,3,frozen_monotonic,342.6918146198755,343.93154940770614,1.2397347878306277,16
39,4,frozen_monotonic,65.29259380119464,65.30636055728777,0.013766756093133381,8
39,5,frozen_monotonic,156.22456118569102,156.47482133487492,0.2502601491839016,8
39,6,frozen_monotonic,75.91266875046378,75.95405269813297,0.04138394766918907,8
39,7,frozen_monotonic,92.81111380846039,92.8398661585512,0.02875235009081223,2
39,8,frozen_monotonic,188.48335503617082,188.59595043457523,0.1125953984044088,2
39,10,frozen_monotonic,196.45601518044342,196.57559574163946,0.11958056119604521,2
39,11,frozen_monotonic,177.5515045215857,178.07723745546113,0.5257329338754175,16
39,12,frozen_monotonic,81.90301685490346,81.9222133931353,0.019196538231838645,2
39,13,frozen_monotonic,238.73727154716536,238.893871680505,0.15660013333962297,2
39,29,frozen_monotonic,124.80115627597162,125.37163888969151,0.5704826137198893,21
39,37,frozen_monotonic,127.95694807884006,127.95694807884006,0.0,1
39,39,frozen_monotonic,131.53996885403834,131.53996885403834,0.0,1
39,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
39,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
39,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
39,3,bkt_set,101.57868245480977,112.98521497803112,11.406532523221358,16
39,4,bkt_set,65.62161142391432,66.87827661932013,1.256665195405816,8
39,5,bkt_set,114.8671995618164,124.48732558076982,9.620126018953414,8
39,6,bkt_set,80.40119730443564,83.08540670691711,2.6842094024814713,8
39,7,bkt_set,69.20632310305876,69.94225263098214,0.7359295279233748,2
39,8,bkt_set,106.55303639747787,108.422567915101,1.8695315176231304,2
39,10,bkt_set,86.61399499004436,89.44462358650179,2.83062859645743,2
39,11,bkt_set,117.39888235631645,126.46599484591937,9.06711248960292,16
39,12,bkt_set,80.62803546684395,84.20871868826084,3.5806832214168907,2
39,13,bkt_set,98.35784707917244,103.45496618964793,5.097119110475489,2
39,29,bkt_set,86.73809357015693,105.71371592128125,18.975622351124315,21
39,37,bkt_set,121.56503640280233,121.56503640280233,0.0,1
39,39,bkt_set,80.18300179207044,80.18300179207044,0.0,1
39,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
39,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
39,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
39,3,dkt_set,153.72942536994609,182.3053940961862,28.57596872624012,16
39,4,dkt_set,97.94029145866224,104.96930483522883,7.029013376566581,8
39,5,dkt_set,133.1232243489296,144.54962441088372,11.426400061954126,8
39,6,dkt_set,81.48278596923053,87.78597945268376,6.303193483453228,8
39,7,dkt_set,98.16050735989548,99.62709451536459,1.4665871554691137,2
39,8,dkt_set,111.04899807650811,112.08230887786189,1.0333108013537782,2
39,10,dkt_set,111.7297104168616,113.47510004273495,1.7453896258733579,2
39,11,dkt_set,115.66329914334288,125.29615713361254,9.632857990269656,16
39,12,dkt_set,95.01881718755398,96.74727586429606,1.728458676742079,2
39,13,dkt_set,125.62903221076083,129.96787383535795,4.338841624597123,2
39,29,dkt_set,132.77474972330705,146.0227524605174,13.248002737210356,21
39,37,dkt_set,124.11831197471305,124.11831197471305,0.0,1
39,39,dkt_set,92.70485319710298,92.70485319710298,0.0,1
42,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
42,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
42,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
42,3,frozen_monotonic,342.939554283457,343.93154940770614,0.9919951242491152,8
42,4,frozen_monotonic,65.29723572626526,65.30636055728777,0.009124831022518265,4
42,5,frozen_monotonic,156.21737278636903,156.47482133487492,0.2574485485058915,6
42,6,frozen_monotonic,75.91147801881904,75.95405269813297,0.042574679313929664,6
42,7,frozen_monotonic,92.8086665299076,92.8398661585512,0.031199628643605593,2
42,8,frozen_monotonic,188.4737561321943,188.59595043457523,0.1221943023809331,2
42,10,frozen_monotonic,196.4458554326058,196.57559574163946,0.1297403090336502,2
42,11,frozen_monotonic,177.54275190368065,178.07723745546113,0.5344855517804774,11
42,12,frozen_monotonic,81.90139089490734,81.9222133931353,0.020822498227957453,2
42,40,frozen_monotonic,253.46594326574987,254.6353409177576,1.1693976520077172,10
42,41,frozen_monotonic,101.52936176169965,101.52936176169965,0.0,1
42,42,frozen_monotonic,229.34973527445652,229.34973527445652,0.0,1
42,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
42,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
42,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
42,3,bkt_set,101.57868245480977,109.49802358514117,7.919341130331404,8
42,4,bkt_set,66.02537007037972,66.87827661932013,0.8529065489404104,4
42,5,bkt_set,111.69533227330174,124.48732558076982,12.791993307468076,6
42,6,bkt_set,78.94046017032889,83.08540670691711,4.144946536588222,6
42,7,bkt_set,68.44442927435438,69.20632310305876,0.7618938287043875,2
42,8,bkt_set,102.40941753269954,106.55303639747787,4.1436188647783325,2
42,10,bkt_set,87.40836011968284,89.44462358650179,2.0362634668189514,2
42,11,bkt_set,114.82136770972065,126.46599484591937,11.644627136198721,11
42,12,bkt_set,82.84314009496445,84.20871868826084,1.3655785932963909,2
42,40,bkt_set,93.05001796973099,102.65033968542667,9.600321715695685,10
42,41,bkt_set,64.92507030524104,64.92507030524104,0.0,1
42,42,bkt_set,135.64747956410153,135.64747956410153,0.0,1
42,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
42,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
42,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
42,3,dkt_set,153.72942536994609,171.95597790952212,18.226552539576033,8
42,4,dkt_set,98.46954230182871,104.96930483522883,6.499762533400116,4
42,5,dkt_set,133.1232243489296,138.47868958272247,5.35546523379287,6
42,6,dkt_set,85.20962693355442,88.6413563638333,3.431729430278878,6
42,7,dkt_set,98.16050735989548,101.32813012739184,3.1676227674963684,2
42,8,dkt_set,112.08230887786189,115.06875321498383,2.986444337121938,2
42,10,dkt_set,111.7297104168616,116.43204938796524,4.702338971103643,2
42,11,dkt_set,115.66329914334288,121.47215668405627,5.80885754071339,11
42,12,dkt_set,95.01881718755398,97.50438784437314,2.4855706568191636,2
42,40,dkt_set,103.89276091596851,113.3945436548503,9.501782738881786,10
42,41,dkt_set,89.21717022435,89.21717022435,0.0,1
42,42,dkt_set,138.70018510205415,138.70018510205415,0.0,1
46,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
46,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
46,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
46,3,frozen_monotonic,343.66072722524217,343.93154940770614,0.2708221824639736,2
46,4,frozen_monotonic,65.30156059521727,65.30636055728777,0.004799962070507036,2
46,40,frozen_monotonic,254.6353409177576,254.6353409177576,0.0,1
46,46,frozen_monotonic,120.17306216687047,120.17306216687047,0.0,1
46,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
46,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
46,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
46,3,bkt_set,107.33193654977401,109.49802358514117,2.1660870353671555,2
46,4,bkt_set,66.1911588840244,66.87827661932013,0.687117735295729,2
46,40,bkt_set,102.65033968542667,102.65033968542667,0.0,1
46,46,bkt_set,97.48176416654368,97.48176416654368,0.0,1
46,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
46,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
46,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
46,3,dkt_set,159.39623329866086,160.69476098913597,1.2985276904751117,2
46,4,dkt_set,98.46954230182871,100.4046135536404,1.9350712518116922,2
46,40,dkt_set,113.3945436548503,113.3945436548503,0.0,1
46,46,dkt_set,110.85671506385064,110.85671506385064,0.0,1
52,0,frozen_monotonic,147.37123994944508,147.37123994944508,0.0,1
52,1,frozen_monotonic,140.48765455962135,140.48765455962135,0.0,1
52,2,frozen_monotonic,123.31693816493842,123.31693816493842,0.0,1
52,3,frozen_monotonic,342.939554283457,343.93154940770614,0.9919951242491152,8
52,4,frozen_monotonic,65.29723572626526,65.30636055728777,0.009124831022518265,4
52,5,frozen_monotonic,156.30887118519502,156.47482133487492,0.16595014967990096,4
52,6,frozen_monotonic,75.92660537726202,75.95405269813297,0.027447320870948033,4
52,7,frozen_monotonic,92.8398661585512,92.8398661585512,0.0,1
52,8,frozen_monotonic,188.59595043457523,188.59595043457523,0.0,1
52,10,frozen_monotonic,196.57559574163946,196.57559574163946,0.0,1
52,11,frozen_monotonic,177.6545026026521,178.07723745546113,0.4227348528090431,8
52,12,frozen_monotonic,81.9222133931353,81.9222133931353,0.0,1
52,13,frozen_monotonic,238.893871680505,238.893871680505,0.0,1
52,51,frozen_monotonic,131.55390181245963,131.55390181245963,0.0,1
52,52,frozen_monotonic,187.89420443007774,187.89420443007774,0.0,1
52,0,bkt_set,119.99649534924501,119.99649534924501,0.0,1
52,1,bkt_set,123.77040051434471,123.77040051434471,0.0,1
52,2,bkt_set,119.0562903979503,119.0562903979503,0.0,1
52,3,bkt_set,101.57868245480977,109.49802358514117,7.919341130331404,8
52,4,bkt_set,66.02537007037972,66.87827661932013,0.8529065489404104,4
52,5,bkt_set,117.54610170405905,124.48732558076982,6.941223876710765,4
52,6,bkt_set,80.40119730443564,83.08540670691711,2.6842094024814713,4
52,7,bkt_set,69.20632310305876,69.20632310305876,0.0,1
52,8,bkt_set,106.55303639747787,106.55303639747787,0.0,1
52,10,bkt_set,89.44462358650179,89.44462358650179,0.0,1
52,11,bkt_set,117.39888235631645,126.46599484591937,9.06711248960292,8
52,12,bkt_set,84.20871868826084,84.20871868826084,0.0,1
52,13,bkt_set,103.45496618964793,103.45496618964793,0.0,1
52,51,bkt_set,128.60020526046534,128.60020526046534,0.0,1
52,52,bkt_set,163.42770679438266,163.42770679438266,0.0,1
52,0,dkt_set,132.21988552964703,132.21988552964703,0.0,1
52,1,dkt_set,118.13362956919605,118.13362956919605,0.0,1
52,2,dkt_set,114.46149143920664,114.46149143920664,0.0,1
52,3,dkt_set,153.72942536994609,171.95597790952212,18.226552539576033,8
52,4,dkt_set,98.46954230182871,104.96930483522883,6.499762533400116,4
52,5,dkt_set,133.1232243489296,138.07629775605244,4.953073407122844,4
52,6,dkt_set,85.20962693355442,87.78597945268376,2.576352519129344,4
52,7,dkt_set,98.16050735989548,98.16050735989548,0.0,1
52,8,dkt_set,112.08230887786189,112.08230887786189,0.0,1
52,10,dkt_set,111.7297104168616,111.7297104168616,0.0,1
52,11,dkt_set,115.66329914334288,121.47215668405627,5.80885754071339,8
52,12,dkt_set,95.01881718755398,95.01881718755398,0.0,1
52,13,dkt_set,129.96787383535795,129.96787383535795,0.0,1
52,51,dkt_set,131.31211480263423,131.31211480263423,0.0,1
52,52,dkt_set,183.7287240945232,183.7287240945232,0.0,1
